ticker,year,quarter,is_annual,revenue,cogs,net_profit,ar_end,inv_end,ap_end,total_assets_end,total_equity_end,NPM,ROA,ROE,DSO,DIO,DPO,CCC,rev_low,balance_ok,source
MINT,2566,Q1,False,32229.34,17326.308,-940.597,20232.1,3817.805,21635.269,362049.415,92390.46,-0.0292,-0.0026,-0.0107,55.2984,20.0686,112.8273,-37.4603,,True,Q1_FS.xlsx
MINT,2566,Q2,False,40588.347,19634.453,3490.163,21612.902,3981.635,24038.032,371204.823,85719.937,0.086,0.0095,0.0392,46.9087,18.0741,105.8413,-40.8585,,True,Q2_FS.xlsx
MINT,2566,Q3,False,39840.815,19633.64,2323.736,22006.368,3875.773,23542.235,370070.456,88073.206,0.0583,0.0063,0.0267,50.3626,18.4093,111.4766,-42.7048,,True,Q3_FS.xlsx
MINT,2566,Q4,False,40390.7396,21556.068,1214.672,20564.3268,3820.4157,24953.3081,359195.9233,87294.5566,0.0301,0.0033,0.0139,48.4827,16.4234,103.488,-38.5819,,,
MINT,2567,Q1,False,37818.351,20253.5,1288.472,19703.261,3756.272,24726.24,368813.476,91861.587,0.0341,0.0035,0.0144,45.443,16.8342,110.3799,-48.1028,,True,Q1_FS.xlsx
MINT,2567,Q2,False,44303.008,22584.012,3031.497,20247.792,3907.044,23792.342,372383.166,94773.579,0.0684,0.0082,0.0325,41.0305,15.4393,97.7504,-41.2806,,True,Q2_FS.xlsx
MINT,2567,Q3,False,41612.614,21452.758,361.424,18407.006,3908.265,22804.063,344558.581,89490.583,0.0087,0.001,0.0039,42.7303,16.7579,99.9142,-40.4259,,True,Q3_FS.xlsx
MINT,2567,Q4,False,41628.2992,21620.0916,3920.5313,13970.3414,3917.6361,24414.6113,346844.9317,99136.8305,0.0942,0.0113,0.0416,35.7775,16.6508,100.4648,-48.0365,,,
MINT,2568,Q1,False,37267.312,20008.898,611.516,14945.937,4088.494,22052.993,355544.01,98317.427,0.0164,0.0017,0.0062,34.9162,18.0058,104.5056,-51.5836,,True,Q1_FS.xlsx
MINT,2568,Q2,False,43497.069,22101.435,3322.548,15751.811,4157.115,24610.107,366301.08,99185.386,0.0764,0.0092,0.0336,32.1113,16.9752,96.0649,-46.9784,,True,Q2_FS.xlsx
MINT,2568,Q3,False,41174.584,21956.753,2667.974,17466.545,4137.789,23955.136,356649.372,94833.336,0.0648,0.0074,0.0275,37.1113,17.3781,101.7455,-47.2561,,True,Q3_FS.xlsx
MINT,2568,Q4,False,43865.7491,22154.6994,3237.2946,15911.6016,3921.4803,25606.359,357329.6666,96985.6572,0.0738,0.0091,0.0338,35.0021,16.7335,102.905,-51.1693,,,
OHTL,2564,Q1,False,150.9211,217.6384,-155.4763,30.2111,18.2184,304.3415,6566.336,1971.6781,-1.0302,-0.0234,-0.0759,22.8298,7.5352,145.029,-114.664,Y,True,Q1_FS.xlsx
OHTL,2564,Q2,False,84.1603,183.8351,-167.6779,29.3485,20.2541,275.8175,6436.1775,1803.9684,-1.9924,-0.0258,-0.0888,32.2,9.5221,143.5919,-101.8698,Y,True,Q2_FS.xlsx
OHTL,2564,Q3,False,106.6106,176.1041,-174.2362,45.7348,19.4717,249.3838,6335.5935,1630.4561,-1.6343,-0.0273,-0.1015,32.3967,10.3767,137.1874,-94.4139,Y,True,Q3_FS.xlsx
